index value
1 -3273462
2 -3386849
3 -3026378
4 -2760392
5 -2579442
6 -2456609
7 -2323998
8 -2181098
9 -2053539
10 -1979094
11 -1942338
12 -1914235
13 -1900331
14 -1909720
15 -1933054
16 -1955105
17 -1969642
18 -1976497
19 -1977807
20 -1974337
21 -1965372
22 -1956838
23 -1951649
24 -1950004
25 -1946268
26 -1942814
27 -1946047
28 -1952237
29 -1951874
30 -1947526
31 -1944577
32 -1946344
33 -1948168
34 -1948116
35 -1945690
36 -1946638
37 -1952401
38 -1956876
39 -1958468
40 -1958712
41 -1962282
42 -1965606
43 -1967715
44 -1969750
45 -1970352
46 -1972267
47 -1974309
48 -1973766
49 -1973609
50 -1973309
51 -1972672
52 -1971096
53 -1968890
54 -1971244
55 -1975723
56 -1979951
57 -1982832
58 -1985890
59 -1989382
60 -1988972
61 -1985530
62 -1982735
63 -1983330
64 -1985231
65 -1984012
66 -1983030
67 -1986229
68 -1990422
69 -1990898
70 -1989689
71 -1990499
72 -1994100
73 -1997905
74 -2001264
75 -2005034
76 -2010120
77 -2013179
78 -2013259
79 -2011160
80 -2010570
81 -2010312
82 -2008486
83 -2005411
84 -2003998
85 -2005038
86 -2005848
87 -2005272
88 -2003538
89 -2003350
90 -2003769
91 -2003896
92 -2002712
93 -2002006
94 -2002038
95 -2000760
96 -1997256
97 -1992356
98 -1987818
99 -1983318
100 -1979496
