index value
1 -318020.3
2 -461444.4
3 -569782.7
4 -653021
5 -752309.1
6 -889695.6
7 -1007023
8 -997409.1
9 -910009.2
10 -854260.8
11 -850515.7
12 -850567
13 -860961
14 -891938.6
15 -895011.9
16 -864192.4
17 -829345.4
18 -842068.9
19 -884025.8
20 -912700.3
21 -899063.4
22 -867324
23 -828314.7
24 -792125.6
25 -766120.6
26 -743721.1
27 -723337.2
28 -713325.1
29 -717292.6
30 -742371
31 -785074.7
32 -817278.6
33 -828573.9
34 -838713.2
35 -868458.8
36 -902605.5
37 -930071.2
38 -950130
39 -948800
40 -910275.7
41 -836510.4
42 -753773.1
43 -698527.6
44 -688310.3
45 -703132.9
46 -723545.1
47 -760769.7
48 -792122.2
49 -802351.8
50 -802275.9
51 -832787.2
52 -876317.2
53 -916584.1
54 -944417.9
55 -940197
56 -902246.4
57 -871000.1
58 -838093.2
59 -792241.7
60 -747431.7
61 -711826.6
62 -691006.9
63 -707715.4
64 -747356.3
65 -784116.1
66 -809068.6
67 -821000.4
68 -830607.6
69 -842230
70 -846870.7
71 -832095.5
72 -779700.4
73 -700181.2
74 -657917.7
75 -668369.9
76 -694957.2
77 -716319.2
78 -717302
79 -699285.1
80 -687996.7
81 -701746.3
82 -723133.6
83 -733487.4
84 -722472.9
85 -708391.5
86 -709183.5
87 -711000.7
88 -700113.9
89 -674684.2
90 -622515.6
91 -575183.9
92 -566878.7
93 -567841.9
94 -569142.6
95 -572975.9
96 -568175
97 -571921.7
98 -601422
99 -623551.7
100 -608376.1
